mapq_threshold,correct,wrong
0,98026,14269
1,96132,4772
2,95837,3950
3,95408,3505
4,95130,3217
5,94891,3015
6,94713,2862
7,94534,2753
8,94371,2649
9,94167,2565
10,93929,2484
11,93734,2413
12,93467,2332
13,93162,2238
14,92670,2136
15,91932,2046
16,90662,1961
17,88507,1866
18,85377,1787
19,82294,1758
20,80921,1742
21,80711,1715
22,80579,1684
23,80453,1658
24,80299,1623
25,80120,1591
26,79869,1553
27,79488,1484
28,78984,1413
29,78320,1317
30,77433,1204
31,76306,1107
32,74446,958
33,71403,816
34,67719,685
35,63316,606
36,57707,539
37,51433,516
38,45540,507
39,41501,505
40,39653,505
41,39154,503
42,39120,503
43,39110,503
44,39097,503
45,39086,503
46,39076,503
47,39068,503
48,39051,502
49,39043,502
50,39034,502
51,39024,502
52,39014,502
53,39003,501
54,38997,501
55,38993,501
56,38987,501
57,38982,501
58,38969,501
59,38963,501
60,38953,501
61,38945,501
62,38930,501
63,38918,501
64,38911,499
65,38901,499
66,38891,498
67,38885,498
68,38877,497
69,38866,497
70,38858,497
71,38845,496
72,38832,496
73,38820,495
74,38800,493
75,38783,488
76,38772,487
77,38751,486
78,38729,483
79,38705,483
80,38668,481
81,38649,481
82,38620,478
83,38571,477
84,38525,474
85,38466,473
86,38420,472
87,38375,472
88,38285,471
89,38216,471
90,38127,468
91,38017,468
92,37919,467
93,37831,467
94,37740,466
95,37665,466
96,37577,466
97,37513,466
98,37468,466
99,37433,466
100,37412,466
101,37405,466
102,37395,466
103,37384,466
104,37378,466
105,37376,466
106,37371,466
107,37365,466
108,37358,466
109,37349,466
110,37343,466
111,37336,466
112,37328,466
113,37322,465
114,37312,465
115,37306,465
116,37298,465
117,37285,465
118,37273,463
119,37270,463
120,37257,463
121,37249,463
122,37244,463
123,37235,463
124,37233,463
125,37225,463
126,37222,463
127,37207,463
128,37198,463
129,37179,462
130,37173,462
131,37158,460
132,37153,460
133,37133,460
134,37124,460
135,37107,458
136,37100,458
137,37085,455
138,37065,454
139,37063,454
140,37042,450
141,37036,450
142,37013,449
143,36970,445
144,36962,445
145,36928,442
146,36923,442
147,36885,441
148,36831,436
149,36823,436
150,36774,433
151,36717,426
152,36648,423
153,36640,423
154,36565,414
155,36485,408
156,36393,404
157,36385,404
158,36286,395
159,36178,385
160,36068,370
161,35938,359
162,35773,350
163,35618,334
164,35433,322
165,35240,305
166,35232,305
167,35009,293
168,34486,263
169,34173,252
170,33846,232
171,33520,218
172,33143,198
173,32763,182
174,32356,168
175,31925,159
176,31503,143
177,30542,124
178,29978,113
179,29413,104
180,28191,90
181,27576,80
182,26947,69
183,25517,55
184,24769,52
185,23245,39
186,21714,28
187,20888,22
188,19194,17
189,18300,15
190,16642,9
191,14988,7
192,13371,4
193,11899,2
194,10436,2
195,9023,1
196,7791,0
197,6601,0
198,5561,0
199,4207,0
200,3459,0
201,2786,0
202,1952,0
203,1353,0
204,1022,0
205,667,0
206,420,0
207,241,0
208,142,0
209,78,0
210,36,0
211,17,0
212,5,0
213,1,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
