mapq_threshold,correct,wrong
0,294397,14181
1,290274,3072
2,289148,1562
3,286978,845
4,285959,535
5,284460,343
6,283126,236
7,281825,158
8,280537,123
9,279331,91
10,278182,69
11,276886,47
12,274599,28
13,273573,22
14,272532,20
15,271546,18
16,270241,17
17,268369,15
18,267714,11
19,267173,11
20,266719,10
21,266059,8
22,265206,5
23,264518,3
24,263872,1
25,263351,1
26,262824,0
27,262298,0
28,261883,0
29,261354,0
30,260546,0
31,259561,0
32,257521,0
33,248349,0
34,242172,0
35,240641,0
36,240507,0
37,240402,0
38,240284,0
39,240140,0
40,240104,0
41,239755,0
42,239662,0
43,239340,0
44,239200,0
45,238989,0
46,238869,0
47,238684,0
48,238518,0
49,238389,0
50,238239,0
51,238061,0
52,237810,0
53,237680,0
54,237262,0
55,237190,0
56,236874,0
57,236741,0
58,236633,0
59,236322,0
60,236261,0
61,236129,0
62,235780,0
63,235712,0
64,235202,0
65,235180,0
66,235096,0
67,234659,0
68,234600,0
69,234321,0
70,234145,0
71,234080,0
72,233633,0
73,233553,0
74,233414,0
75,233038,0
76,232956,0
77,232589,0
78,232385,0
79,232149,0
80,231797,0
81,231588,0
82,231121,0
83,230754,0
84,230351,0
85,230039,0
86,229836,0
87,229650,0
88,229408,0
89,229221,0
90,229042,0
91,228837,0
92,228555,0
93,228311,0
94,228184,0
95,228043,0
96,227751,0
97,227479,0
98,227263,0
99,227185,0
100,226889,0
101,226615,0
102,226435,0
103,226286,0
104,226019,0
105,225744,0
106,225441,0
107,225252,0
108,225108,0
109,224843,0
110,224641,0
111,224453,0
112,224034,0
113,223959,0
114,223590,0
115,223411,0
116,223196,0
117,222802,0
118,222754,0
119,222520,0
120,222168,0
121,222119,0
122,221513,0
123,221477,0
124,221370,0
125,220831,0
126,220780,0
127,220091,0
128,220091,0
129,220018,0
130,219348,0
131,219324,0
132,219299,0
133,218608,0
134,218556,0
135,218143,0
136,217802,0
137,217750,0
138,217195,0
139,217041,0
140,216861,0
141,216385,0
142,216228,0
143,215814,0
144,215598,0
145,215309,0
146,214985,0
147,214622,0
148,214358,0
149,213820,0
150,213483,0
151,213130,0
152,212798,0
153,212514,0
154,211681,0
155,211101,0
156,210529,0
157,210428,0
158,209849,0
159,206594,0
160,205373,0
161,204844,0
162,203848,0
163,192336,0
164,190168,0
165,188687,0
166,188392,0
167,186678,0
168,153055,0
169,150467,0
170,147816,0
171,95170,0
172,91921,0
173,89336,0
174,86936,0
175,32091,0
176,30631,0
177,28253,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
