mapq_threshold,correct,wrong
0,217911,22932
1,212698,5593
2,212341,5431
3,211983,5301
4,211378,5170
5,211012,5094
6,210873,5020
7,210779,4964
8,210711,4936
9,210611,4901
10,210396,4859
11,210022,4793
12,209528,4729
13,208974,4679
14,208420,4625
15,207961,4586
16,207504,4533
17,206979,4494
18,206428,4456
19,205880,4427
20,205367,4396
21,204792,4351
22,204225,4319
23,203615,4273
24,203005,4231
25,202337,4201
26,201643,4168
27,200917,4127
28,200148,4076
29,199371,4038
30,198564,4002
31,197771,3965
32,196885,3930
33,196056,3887
34,195146,3844
35,194197,3800
36,193165,3756
37,192168,3702
38,191168,3647
39,190055,3609
40,188892,3560
41,187755,3513
42,186529,3473
43,185292,3416
44,183965,3370
45,182574,3333
46,181240,3285
47,179760,3232
48,178234,3188
49,176720,3130
50,175118,3089
51,173490,3020
52,171819,2976
53,170138,2925
54,168414,2870
55,166752,2817
56,164945,2753
57,163196,2689
58,161366,2632
59,159516,2575
60,157623,2536
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
