mapq_threshold,correct,wrong
0,120007,25644
1,118878,14188
2,118573,9969
3,118130,7762
4,117797,6537
5,117458,5657
6,117123,5021
7,116758,4577
8,116367,4202
9,115938,3890
10,115458,3636
11,114899,3405
12,114268,3205
13,113472,3017
14,112381,2793
15,110813,2598
16,108527,2414
17,104999,2225
18,100026,2119
19,95283,2065
20,93191,2039
21,92807,2000
22,92576,1958
23,92307,1919
24,91989,1885
25,91632,1820
26,91230,1774
27,90643,1683
28,89900,1580
29,88949,1470
30,87720,1359
31,86259,1240
32,84091,1115
33,80686,949
34,76386,777
35,71442,664
36,65068,594
37,57857,553
38,50944,536
39,45950,534
40,43549,533
41,42961,533
42,42915,533
43,42899,533
44,42882,532
45,42870,532
46,42857,532
47,42842,532
48,42830,532
49,42809,532
50,42791,532
51,42775,531
52,42758,531
53,42740,530
54,42722,529
55,42715,529
56,42703,528
57,42680,528
58,42651,527
59,42625,526
60,42605,525
61,42592,525
62,42576,525
63,42560,524
64,42535,523
65,42512,523
66,42498,523
67,42476,523
68,42452,522
69,42429,522
70,42412,521
71,42384,518
72,42353,518
73,42324,518
74,42282,518
75,42231,516
76,42190,515
77,42149,515
78,42115,515
79,42069,513
80,42014,512
81,41967,512
82,41909,510
83,41830,510
84,41760,510
85,41667,509
86,41572,507
87,41463,507
88,41324,507
89,41218,506
90,41070,505
91,40901,505
92,40755,505
93,40618,503
94,40468,502
95,40338,501
96,40186,501
97,40074,501
98,39992,501
99,39928,501
100,39879,500
101,39851,500
102,39835,500
103,39812,500
104,39793,500
105,39770,500
106,39750,500
107,39731,498
108,39708,498
109,39682,498
110,39667,497
111,39643,497
112,39618,497
113,39584,495
114,39564,495
115,39536,494
116,39515,494
117,39482,493
118,39456,493
119,39429,493
120,39398,492
121,39367,492
122,39337,491
123,39305,490
124,39285,490
125,39249,489
126,39223,489
127,39190,488
128,39158,488
129,39119,484
130,39098,483
131,39054,482
132,39031,482
133,38990,480
134,38951,479
135,38910,476
136,38878,474
137,38838,469
138,38784,467
139,38744,465
140,38686,462
141,38652,461
142,38586,459
143,38520,456
144,38481,455
145,38413,452
146,38374,451
147,38305,447
148,38228,442
149,38186,442
150,38083,434
151,37974,429
152,37871,426
153,37829,425
154,37735,421
155,37618,411
156,37487,404
157,37444,404
158,37289,400
159,37122,389
160,36969,375
161,36801,369
162,36611,358
163,36402,349
164,36183,336
165,35940,326
166,35868,326
167,35637,312
168,35184,285
169,34901,274
170,34572,262
171,34187,250
172,33810,238
173,33411,211
174,32967,195
175,32493,189
176,32034,178
177,31036,152
178,30447,138
179,29870,128
180,28631,106
181,27924,92
182,27240,83
183,25825,64
184,25082,60
185,23519,47
186,21924,33
187,21117,22
188,19476,17
189,18600,11
190,16935,6
191,15355,4
192,13710,4
193,12145,3
194,10641,1
195,9198,1
196,7860,0
197,6673,0
198,5582,0
199,4220,0
200,3423,0
201,2736,0
202,1910,0
203,1318,0
204,1004,0
205,624,0
206,393,0
207,226,0
208,133,0
209,73,0
210,38,0
211,19,0
212,8,0
213,5,0
214,3,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
